,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
0,5.10000,3.50000,1.40000,0.20000,0.00000
1,4.90000,3.00000,1.40000,0.20000,0.00000
2,4.70000,3.20000,1.30000,0.20000,0.00000
3,4.60000,3.10000,1.50000,0.20000,0.00000
4,5.00000,3.60000,1.40000,0.20000,0.00000
5,5.40000,3.90000,1.70000,0.40000,0.00000
6,4.60000,3.40000,1.40000,0.30000,0.00000
7,5.00000,3.40000,1.50000,0.20000,0.00000
8,4.40000,2.90000,1.40000,0.20000,0.00000
9,4.90000,3.10000,1.50000,0.10000,0.00000
10,5.40000,3.70000,1.50000,0.20000,0.00000
11,4.80000,3.40000,1.60000,0.20000,0.00000
12,4.80000,3.00000,1.40000,0.10000,0.00000
13,4.30000,3.00000,1.10000,0.10000,0.00000
14,5.80000,4.00000,1.20000,0.20000,0.00000
15,5.70000,4.40000,1.50000,0.40000,0.00000
16,5.40000,3.90000,1.30000,0.40000,0.00000
17,5.10000,3.50000,1.40000,0.30000,0.00000
18,5.70000,3.80000,1.70000,0.30000,0.00000
19,5.10000,3.80000,1.50000,0.30000,0.00000
20,5.40000,3.40000,1.70000,0.20000,0.00000
21,5.10000,3.70000,1.50000,0.40000,0.00000
22,4.60000,3.60000,1.00000,0.20000,0.00000
23,5.10000,3.30000,1.70000,0.50000,0.00000
24,4.80000,3.40000,1.90000,0.20000,0.00000
25,5.00000,3.00000,1.60000,0.20000,0.00000
26,5.00000,3.40000,1.60000,0.40000,0.00000
27,5.20000,3.50000,1.50000,0.20000,0.00000
28,5.20000,3.40000,1.40000,0.20000,0.00000
29,4.70000,3.20000,1.60000,0.20000,0.00000
30,4.80000,3.10000,1.60000,0.20000,0.00000
31,5.40000,3.40000,1.50000,0.40000,0.00000
32,5.20000,4.10000,1.50000,0.10000,0.00000
33,5.50000,4.20000,1.40000,0.20000,0.00000
34,4.90000,3.10000,1.50000,0.20000,0.00000
35,5.00000,3.20000,1.20000,0.20000,0.00000
36,5.50000,3.50000,1.30000,0.20000,0.00000
37,4.90000,3.60000,1.40000,0.10000,0.00000
