,0,1
0,[5.8 2.7 5.1 1.9],[6.5 3.  5.2 2. ]
1,[6.7 3.3 5.7 2.5],[5.9 3.  5.1 1.8]
2,[6.8 3.2 5.9 2.3],[6.2 3.4 5.4 2.3]
3,[6.9 3.1 5.4 2.1],[6.5 3.  5.2 2. ]
4,[5.1 3.5 1.4 0.2],[5.1 3.4 1.5 0.2]
5,[5.1 3.5 1.4 0.2],[5.1 3.5 1.4 0.3]
6,[5.1 3.5 1.4 0.2],[5.2 3.5 1.5 0.2]
7,[5.1 3.5 1.4 0.2],[5.  3.6 1.4 0.2]
8,[4.9 3.  1.4 0.2],[4.7 3.2 1.3 0.2]
9,[4.9 3.  1.4 0.2],[4.6 3.1 1.5 0.2]
10,[4.9 3.  1.4 0.2],[5.  3.6 1.4 0.2]
11,[4.9 3.  1.4 0.2],[5.4 3.9 1.7 0.4]
12,[4.9 3.  1.4 0.2],[4.9 3.1 1.5 0.2]
13,[4.9 3.  1.4 0.2],[4.8 3.  1.4 0.3]
14,[4.9 3.  1.4 0.2],[4.8 3.  1.4 0.1]
15,[4.9 3.  1.4 0.2],[4.9 3.1 1.5 0.1]
16,[4.7 3.2 1.3 0.2],[4.6 3.1 1.5 0.2]
17,[4.7 3.2 1.3 0.2],[5.  3.6 1.4 0.2]
18,[4.7 3.2 1.3 0.2],[5.4 3.9 1.7 0.4]
19,[4.7 3.2 1.3 0.2],[4.6 3.4 1.4 0.3]
20,[4.7 3.2 1.3 0.2],[4.6 3.1 1.5 0.2]
21,[4.7 3.2 1.3 0.2],[4.6 3.2 1.4 0.2]
22,[4.7 3.2 1.3 0.2],[4.8 3.  1.4 0.1]
23,[4.7 3.2 1.3 0.2],[4.6 3.4 1.4 0.3]
24,[4.6 3.1 1.5 0.2],[5.  3.6 1.4 0.2]
25,[4.6 3.1 1.5 0.2],[5.4 3.9 1.7 0.4]
26,[4.6 3.1 1.5 0.2],[4.6 3.4 1.4 0.3]
27,[4.6 3.1 1.5 0.2],[5.  3.4 1.5 0.2]
28,[4.6 3.1 1.5 0.2],[4.8 3.1 1.6 0.2]
29,[4.6 3.1 1.5 0.2],[4.6 3.2 1.4 0.2]
30,[4.6 3.1 1.5 0.2],[4.7 3.2 1.6 0.2]
31,[4.6 3.1 1.5 0.2],[4.8 3.  1.4 0.1]
32,[5.  3.6 1.4 0.2],[5.4 3.9 1.7 0.4]
33,[5.  3.6 1.4 0.2],[4.6 3.4 1.4 0.3]
34,[5.  3.6 1.4 0.2],[5.  3.4 1.5 0.2]
35,[5.  3.6 1.4 0.2],[4.4 2.9 1.4 0.2]
36,[5.  3.6 1.4 0.2],[4.9 3.6 1.4 0.1]
37,[5.  3.6 1.4 0.2],[5.1 3.5 1.4 0.3]
38,[5.  3.6 1.4 0.2],[5.  3.4 1.5 0.2]
39,[5.  3.6 1.4 0.2],[5.  3.5 1.3 0.3]
40,[5.4 3.9 1.7 0.4],[4.6 3.4 1.4 0.3]
41,[5.4 3.9 1.7 0.4],[5.  3.4 1.5 0.2]
42,[5.4 3.9 1.7 0.4],[4.4 2.9 1.4 0.2]
43,[5.4 3.9 1.7 0.4],[4.9 3.1 1.5 0.1]
44,[5.4 3.9 1.7 0.4],[5.3 3.7 1.5 0.2]
45,[5.4 3.9 1.7 0.4],[5.1 3.8 1.9 0.4]
46,[5.4 3.9 1.7 0.4],[5.4 3.7 1.5 0.2]
47,[5.4 3.9 1.7 0.4],[5.7 3.8 1.7 0.3]
48,[4.6 3.4 1.4 0.3],[5.  3.4 1.5 0.2]
49,[4.6 3.4 1.4 0.3],[4.4 2.9 1.4 0.2]
