,0
0,0.14142
1,0.10000
2,0.14142
3,0.14142
4,0.14142
5,0.14142
6,0.14142
7,0.17321
8,0.24495
9,0.14142
10,0.26458
11,0.26458
12,0.22361
13,0.14142
14,0.17321
15,0.26458
16,0.14142
17,0.17321
18,0.22361
19,0.17321
20,0.36056
21,0.37417
22,0.34641
23,0.33166
24,0.22361
25,0.31623
26,0.31623
27,0.30000
28,0.22361
29,0.10000
30,0.20000
31,0.14142
32,0.14142
33,0.34641
34,0.31623
35,0.36056
36,0.10000
37,0.17321
38,0.17321
39,0.20000
40,0.28284
41,0.10000
42,0.30000
43,0.33166
44,0.28284
45,0.30000
46,0.30000
47,0.22361
48,0.20000
49,0.20000
50,0.24495
51,0.30000
52,0.24495
53,0.61644
54,0.31623
55,0.47958
56,0.54772
57,0.46904
58,0.41231
59,0.55678
60,0.61644
61,0.65574
62,0.64031
63,0.36056
64,0.36056
65,0.38730
66,0.38730
67,0.41231
68,0.17321
69,0.17321
70,0.17321
71,0.14142
72,0.46904
73,0.50990
74,0.54772
75,0.54772
76,0.14142
77,0.14142
78,0.24495
79,0.33166
80,0.36056
81,0.30000
82,0.36056
83,0.28284
84,0.30000
85,0.28284
86,0.31623
87,0.24495
88,0.50990
89,0.53852
90,0.51962
91,0.56569
92,0.38730
93,0.37417
94,0.20000
95,0.26458
96,0.50000
97,0.41231
98,0.42426
99,0.37417
100,0.30000
101,0.22361
102,0.17321
103,0.36056
104,0.31623
105,0.22361
106,0.24495
107,0.30000
108,0.14142
109,0.14142
110,0.30000
111,0.22361
112,0.26458
113,0.22361
114,0.30000
115,0.14142
116,0.14142
117,0.22361
118,0.31623
119,0.24495
120,0.24495
121,0.34641
122,0.30000
123,0.14142
124,0.36056
125,0.31623
126,0.37417
127,0.46904
128,0.34641
129,0.59161
130,0.34641
131,0.42426
132,0.78102
133,0.60000
134,0.70711
135,0.54772
136,0.33166
137,0.24495
138,0.20000
139,0.33166
140,0.36056
141,0.22361
142,0.33166
143,0.37417
144,0.34641
145,0.54772
146,0.45826
147,0.50990
148,0.33166
149,0.31623
150,0.26458
151,0.36056
152,0.42426
153,0.30000
154,0.67823
155,0.20000
156,0.26458
157,0.41231
158,0.36056
159,0.17321
160,0.42426
161,0.24495
162,0.42426
163,0.44721
164,0.91104
165,1.12694
166,0.91652
167,0.76811
168,0.83666
169,0.22361
170,0.46904
171,0.61644
172,0.47958
173,0.48990
174,0.50990
175,0.54772
176,0.74162
177,0.36056
178,0.94868
179,0.50000
180,0.88318
181,0.30000
182,0.87178
183,0.37417
184,0.80623
185,0.24495
186,0.54772
187,2.11187
188,0.86603
189,0.41231
190,2.02731
191,2.23159
192,0.50990
193,2.43516
194,2.39374
195,2.13073
196,2.29129
197,2.45561
198,2.25167
199,2.00499
200,0.45826
201,0.26458
202,0.33166
203,0.43589
204,0.34641
205,0.26458
206,0.37417
207,0.31623
208,0.50990
209,0.31623
210,0.28284
211,0.34641
212,0.31623
213,0.30000
214,0.20000
215,0.43589
216,0.31623
217,0.37417
218,0.37417
219,0.24495
220,0.30000
221,0.33166
222,0.31623
223,0.31623
224,0.45826
225,0.37417
226,0.42426
227,0.45826
228,0.38730
229,0.14142
230,0.45826
231,0.72111
232,0.31623
233,0.31623
234,0.31623
235,0.24495
236,0.38730
237,0.53852
238,0.52915
239,0.50990
240,0.72111
241,0.71414
242,0.36056
243,0.67082
244,0.36056
245,0.36056
246,0.30000
247,0.33166
248,0.51962
249,0.48990
