,0,1
0,0,39
1,0,17
2,0,27
3,0,4
4,1,34
5,1,45
6,1,12
7,1,9
8,2,3
9,2,47
10,2,12
11,2,6
12,3,30
13,3,47
14,3,29
15,3,12
16,4,37
17,4,17
18,4,7
19,4,40
20,5,48
21,5,44
22,5,10
23,5,18
24,6,47
25,6,42
26,6,29
27,6,11
28,7,26
29,7,39
30,7,17
31,7,49
32,8,38
33,8,13
34,8,42
35,8,47
36,9,34
37,9,30
38,9,12
39,9,25
40,10,27
41,10,48
42,10,36
43,10,19
44,11,26
45,11,24
46,11,30
47,11,29
48,12,45
49,12,34
50,12,30
51,12,25
52,13,38
53,13,45
54,13,42
55,13,47
56,14,15
57,14,16
58,14,33
59,14,18
60,15,16
61,15,32
62,15,18
63,15,33
64,16,48
65,16,33
66,16,19
67,16,21
68,17,27
69,17,28
70,17,39
71,17,40
72,18,48
73,18,20
74,18,31
75,18,36
76,19,46
77,19,21
78,19,48
79,19,27
80,20,28
81,20,27
82,20,39
83,20,31
84,21,27
85,21,48
86,21,43
87,21,46
88,22,37
89,22,42
90,22,40
91,22,47
92,23,31
93,23,39
94,23,26
95,23,43
96,24,39
97,24,26
98,24,30
99,24,29
100,25,45
101,25,30
102,25,34
103,25,29
104,26,27
105,26,43
106,26,39
107,26,49
108,27,28
109,27,39
110,27,40
111,27,48
112,28,40
113,28,49
114,28,31
115,28,39
116,29,30
117,29,47
118,29,45
119,29,34
120,30,45
121,30,49
122,30,47
123,30,34
124,31,39
125,31,36
126,31,48
127,31,43
128,32,33
129,32,37
130,32,46
131,32,48
132,33,44
133,33,46
134,33,36
135,33,48
136,34,35
137,34,49
138,34,45
139,34,47
140,35,45
141,35,49
142,35,40
143,35,39
144,36,48
145,36,49
146,36,39
147,36,40
148,37,49
149,37,39
150,37,40
151,37,46
152,38,45
153,38,47
154,38,49
155,38,42
156,39,40
157,39,46
158,39,48
159,39,49
160,40,48
161,40,49
162,40,43
163,40,46
164,41,42
165,41,49
166,41,47
167,41,45
168,42,43
169,42,47
170,42,45
171,42,49
172,43,44
173,43,49
174,43,46
175,43,48
176,44,49
177,44,46
178,44,47
179,44,48
180,45,46
181,45,47
182,45,48
183,45,49
184,46,47
185,46,48
186,46,49
187,46,98
188,47,48
189,47,49
190,47,98
191,47,57
192,48,49
193,48,93
194,48,57
195,48,98
196,49,93
197,49,79
198,49,57
199,49,98
200,50,76
201,50,52
202,50,86
203,50,65
204,51,65
205,51,56
206,51,86
207,51,75
208,52,58
209,52,77
210,52,86
211,52,76
212,53,69
213,53,80
214,53,89
215,53,81
216,54,75
217,54,86
218,54,76
219,54,58
220,55,66
221,55,94
222,55,96
223,55,90
224,56,86
225,56,85
226,56,91
227,56,127
228,57,98
